State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"25,629","23,327","25,119","24,450","23,707","22,019","24,343","24,089","25,155","27,816","25,321","24,733","26,131","30,671","28,694","25,853","31,050","31,271","31,004","33,548","32,382","36,078","33,759","38,209","35,004","33,807","38,742","34,985","36,549","40,566","46,824","40,894","42,211","42,448","40,356","39,480","47,633","42,282","40,585","38,906","38,620","30,187","28,898","29,851","34,926","42,485","36,022","38,434","43,631","49,904","51,207","52,027","50,256","59,059","61,731","67,603","62,838","66,803","62,624","62,394","51,219","50,415",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"20,514","20,749","21,199","23,397","23,947","23,693","23,570","23,695","24,678","25,354","25,906","26,621","29,554","30,289","33,097","30,950","35,091","38,510","41,662","43,101","48,383","54,426","49,211","60,308","48,816","49,683","41,534","38,592","41,856","34,877","26,138","35,988","38,617","37,096","41,784","44,254","42,107","40,283","39,609","40,538","41,084","30,089","28,790","26,805","27,603","29,321","47,800","52,951","50,637","66,283","74,011","74,190","76,886","86,152","91,005","81,586","85,369","83,836","84,239","84,994","80,762","85,852",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"7,373","6,937","6,791","6,469","6,300","6,075","6,210","5,678","5,706","5,682","5,548","4,965","4,746","4,896","4,919","6,002","6,781","7,328","7,989","9,922","6,223","7,731","8,035","9,201","9,926","10,521","11,126","8,592","8,594","9,918","8,718","9,344","9,308","8,838","8,156","9,787","8,595","9,762","10,043","10,226","10,611","7,911","8,188","8,743","11,714","23,591","28,385","32,003","36,694","33,261","39,926","43,298","45,164","46,411","48,148","48,909","64,769","78,080","95,244","105,040","106,513","138,630",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"22,110","19,545","21,733","19,804","17,842","17,544","19,632","18,985","19,142","18,771","18,322","18,651","17,274","18,356","17,762","18,827","17,457","18,381","18,980","19,804","27,403","21,800","18,717","47,194","63,057","49,989","52,238","28,996","24,397","30,610","30,070","39,509","37,488","41,377","39,090","41,378","43,109","48,279","54,334","51,186","47,127","46,005","42,485","37,158","38,001","38,191","41,987","42,138","44,483","54,225","56,443","58,036","63,674","74,096","76,197","85,212","99,674","109,544","117,235","125,022","125,514","139,948",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"189,314","250,832","277,979","260,059","247,409","262,743","288,582","301,664","320,307","339,647","325,491","326,609","347,985","364,685","362,988","354,900","368,500","342,161","354,864","368,358","404,671","413,896","397,442","435,889","409,565","415,540","429,134","400,041","365,628","379,021","390,950","379,052","395,108","421,585","409,946","393,535","441,203","493,001","460,179","420,326","430,512","351,194","364,410","359,374","383,432","374,254","401,535","392,381","428,750","409,737","405,824","438,840","399,747","418,075","437,667","448,392","454,021","490,642","489,219","498,124","468,231","473,907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"36,966","36,414","36,983","38,172","38,010","38,720","41,531","39,669","43,465","44,467","44,149","43,520","44,940","46,607","48,408","46,299","52,843","58,582","69,632","74,657","107,374","113,023","114,311","132,120","128,420","131,331","119,814","125,393","131,494","112,103","79,958","85,301","84,110","65,996","94,253","87,819","85,997","86,935","85,953","93,555","98,927","68,387","55,136","63,646","66,807","73,750","77,290","84,298","116,287","114,671","129,218","138,111","143,509","160,117","163,389","157,489","159,177","156,232","158,726","160,334","151,400","165,301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"17,766","20,187","16,660","10,640","11,373","16,230","13,064","14,604","23,406","26,940","21,730","21,321","26,724","50,756","48,830","42,644","29,303","32,743","37,416","46,806","24,855","23,880","37,437","39,850","39,885","57,165","45,383","45,998","37,117","50,344","49,914","41,216","53,293","67,957","50,125","53,290","51,673","55,183","60,591","55,318","47,389","48,426","40,973","42,001","62,153","65,251","54,844","82,596","87,945","92,578","108,361","114,750","135,556","178,059","177,919","203,058","260,290","290,968","324,177","347,056","337,045","367,146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"190,489","188,915","197,646","199,225","215,793","230,410","232,649","243,110","271,743","350,230","371,350","419,311","435,930","351,043","432,867","417,387","434,370","327,769","408,647","387,287","401,129","428,803","561,127","574,207","590,530","529,625","532,746","477,093","470,568","481,678","487,410","484,638","375,975","417,186","367,996","467,164","517,451","530,594","455,575","510,869","437,828","351,491","403,564","386,713","387,006","368,234","438,058","402,132","418,899","423,040","406,526","526,732","507,768","472,016","495,029","451,541","482,943","516,930","502,494","445,620","473,155","449,244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"66,100","61,121","61,767","60,798","60,590","61,262","63,676","68,253","62,881","61,805","67,525","60,573","70,114","70,871","72,077","73,865","81,184","84,322","90,536","106,837","136,826","147,662","149,605","167,142","152,019","148,238","117,214","108,025","108,182","98,078","91,855","90,246","107,587","105,517","114,040","119,291","135,591","119,643","111,689","110,226","114,696","97,228","97,199","110,613","118,023","109,625","119,645","121,913","147,224","165,867","190,969","215,431","203,830","235,207","232,509","235,433","230,921","240,496","251,952","234,570","217,902","223,410",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"2,951","3,011","3,139","3,221","3,533","3,561","3,771","4,150","4,266","4,428","5,268","4,851","4,934","5,108","5,023","4,050","4,704","5,295","6,577","7,124","7,287","6,649","6,053","7,401","4,946","5,081","4,653","3,302","3,528","3,805","4,499","4,585","4,840","5,181","5,066","5,079","5,562","4,347","4,197","4,403","4,520","3,899","3,736","3,827","4,535","1,923","5,429","6,398","6,306","7,418","7,178","6,901","6,003","6,106","7,902","8,469","8,267","9,567","10,045","11,832","13,926","14,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
