geotype,geoid,geoname,varname,x2021,State,Cluster
county,42089,"Monroe County, PA",co2limits,65.64,PA,1.0
county,42091,"Montgomery County, PA",co2limits,71.67,PA,1.0
county,42093,"Montour County, PA",co2limits,49.66,PA,1.0
county,42095,"Northampton County, PA",co2limits,62.61,PA,1.0
county,42097,"Northumberland County, PA",co2limits,56.02,PA,1.0
county,42099,"Perry County, PA",co2limits,55.67,PA,1.0
county,42101,"Philadelphia County, PA",co2limits,79.26,PA,1.0
county,42103,"Pike County, PA",co2limits,62.57,PA,1.0
county,42105,"Potter County, PA",co2limits,52.52,PA,1.0
county,42107,"Schuylkill County, PA",co2limits,54.92,PA,1.0
county,42109,"Snyder County, PA",co2limits,56.59,PA,1.0
county,42111,"Somerset County, PA",co2limits,54.79,PA,1.0
county,42113,"Sullivan County, PA",co2limits,57.03,PA,1.0
county,42115,"Susquehanna County, PA",co2limits,56.41,PA,1.0
county,42117,"Tioga County, PA",co2limits,54.91,PA,1.0
county,42119,"Union County, PA",co2limits,63.34,PA,1.0
county,42121,"Venango County, PA",co2limits,56.5,PA,1.0
county,42123,"Warren County, PA",co2limits,56.91,PA,1.0
county,42125,"Washington County, PA",co2limits,59.51,PA,1.0
county,42127,"Wayne County, PA",co2limits,57.56,PA,1.0
county,42129,"Westmoreland County, PA",co2limits,56.04,PA,1.0
county,42131,"Wyoming County, PA",co2limits,55.75,PA,1.0
county,42133,"York County, PA",co2limits,63.31,PA,1.0
county,46003,"Aurora County, SD",co2limits,57.93,SD,2.0
county,46005,"Beadle County, SD",co2limits,58.06,SD,2.0
county,46007,"Bennett County, SD",co2limits,63.5,SD,2.0
county,46009,"Bon Homme County, SD",co2limits,58.78,SD,2.0
county,46011,"Brookings County, SD",co2limits,62.7,SD,2.0
county,46013,"Brown County, SD",co2limits,60.94,SD,2.0
county,46015,"Brule County, SD",co2limits,61.62,SD,2.0
county,46017,"Buffalo County, SD",co2limits,72.74,SD,2.0
county,46019,"Butte County, SD",co2limits,57.71,SD,2.0
county,46021,"Campbell County, SD",co2limits,55.18,SD,2.0
county,46023,"Charles Mix County, SD",co2limits,59.75,SD,2.0
county,46025,"Clark County, SD",co2limits,60.08,SD,2.0
county,46027,"Clay County, SD",co2limits,70.66,SD,2.0
county,46029,"Codington County, SD",co2limits,56.05,SD,2.0
county,46031,"Corson County, SD",co2limits,69.76,SD,2.0
county,46033,"Custer County, SD",co2limits,59.5,SD,2.0
county,46035,"Davison County, SD",co2limits,56.47,SD,2.0
county,46037,"Day County, SD",co2limits,61.9,SD,2.0
