geotype,geoid,geoname,varname,x2021,Cluster
county,17017,"Cass County, IL",co2limits,57.82,Cluster 1
county,17019,"Champaign County, IL",co2limits,72.75,Cluster 1
county,17021,"Christian County, IL",co2limits,44.5,Cluster 1
county,17023,"Clark County, IL",co2limits,54.37,Cluster 1
county,17025,"Clay County, IL",co2limits,50.09,Cluster 1
county,17027,"Clinton County, IL",co2limits,54.61,Cluster 1
county,17029,"Coles County, IL",co2limits,60.66,Cluster 1
county,17031,"Cook County, IL",co2limits,78.21,Cluster 1
county,17033,"Crawford County, IL",co2limits,50.12,Cluster 1
county,17035,"Cumberland County, IL",co2limits,50.55,Cluster 1
county,17037,"DeKalb County, IL",co2limits,66.07,Cluster 1
county,17039,"De Witt County, IL",co2limits,53.39,Cluster 1
county,17041,"Douglas County, IL",co2limits,57.63,Cluster 1
county,17043,"DuPage County, IL",co2limits,71.63,Cluster 1
county,17045,"Edgar County, IL",co2limits,53.54,Cluster 1
county,17047,"Edwards County, IL",co2limits,49.55,Cluster 1
county,17049,"Effingham County, IL",co2limits,52.21,Cluster 1
county,17051,"Fayette County, IL",co2limits,51.16,Cluster 1
county,17053,"Ford County, IL",co2limits,56.38,Cluster 1
county,17055,"Franklin County, IL",co2limits,55.04,Cluster 1
county,17057,"Fulton County, IL",co2limits,55.76,Cluster 1
county,17059,"Gallatin County, IL",co2limits,53.18,Cluster 1
county,17061,"Greene County, IL",co2limits,52.76,Cluster 1
county,17063,"Grundy County, IL",co2limits,56.52,Cluster 1
county,17065,"Hamilton County, IL",co2limits,54.37,Cluster 1
county,17067,"Hancock County, IL",co2limits,52.55,Cluster 1
county,17069,"Hardin County, IL",co2limits,51.19,Cluster 1
county,17071,"Henderson County, IL",co2limits,56.03,Cluster 1
county,17073,"Henry County, IL",co2limits,56.76,Cluster 1
county,17075,"Iroquois County, IL",co2limits,53.82,Cluster 1
county,17077,"Jackson County, IL",co2limits,67.16,Cluster 1
county,17079,"Jasper County, IL",co2limits,39.81,Cluster 1
county,17081,"Jefferson County, IL",co2limits,55.41,Cluster 1
county,17083,"Jersey County, IL",co2limits,51.81,Cluster 1
county,17085,"Jo Daviess County, IL",co2limits,60.82,Cluster 1
county,17087,"Johnson County, IL",co2limits,52.43,Cluster 1
county,17089,"Kane County, IL",co2limits,67.14,Cluster 1
county,17091,"Kankakee County, IL",co2limits,61.24,Cluster 1
county,17093,"Kendall County, IL",co2limits,67.45,Cluster 1
county,17095,"Knox County, IL",co2limits,64.65,Cluster 1
county,17097,"Lake County, IL",co2limits,71.39,Cluster 1
